Div,Date,Time,Season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,B365H,B365D,B365A,match_id
E0,1993-08-14,,1993/94,Arsenal,Coventry,0.0,3.0,A,,,,,,,,,,,,,,,,,,,,,,EPL-00001
E0,1993-08-14,,1993/94,Aston Villa,QPR,4.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,EPL-00002
E0,1993-08-14,,1993/94,Chelsea,Blackburn,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,EPL-00003
E0,1993-08-14,,1993/94,Liverpool,Sheffield Weds,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,EPL-00004
E0,1993-08-14,,1993/94,Man City,Leeds,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,EPL-00005
E0,1993-08-14,,1993/94,Newcastle,Tottenham,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,EPL-00006
E0,1993-08-14,,1993/94,Oldham,Ipswich,0.0,3.0,A,,,,,,,,,,,,,,,,,,,,,,EPL-00007
E0,1993-08-14,,1993/94,Sheffield United,Swindon,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,EPL-00008
E0,1993-08-14,,1993/94,Southampton,Everton,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,EPL-00009
E0,1993-08-14,,1993/94,West Ham,Wimbledon,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,EPL-00010
E0,1993-08-15,,1993/94,Norwich,Man United,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,EPL-00011
E0,1993-08-16,,1993/94,Tottenham,Arsenal,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,EPL-00012
E0,1993-08-17,,1993/94,Everton,Man City,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,EPL-00013
E0,1993-08-17,,1993/94,Ipswich,Southampton,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,EPL-00014
E0,1993-08-17,,1993/94,Leeds,West Ham,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,EPL-00015
E0,1993-08-17,,1993/94,Wimbledon,Chelsea,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,EPL-00016
E0,1993-08-18,,1993/94,Blackburn,Norwich,2.0,3.0,A,,,,,,,,,,,,,,,,,,,,,,EPL-00017
E0,1993-08-18,,1993/94,Coventry,Newcastle,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,EPL-00018
E0,1993-08-18,,1993/94,Man United,Sheffield United,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,EPL-00019
E0,1993-08-18,,1993/94,QPR,Liverpool,1.0,3.0,A,,,,,,,,,,,,,,,,,,,,,,EPL-00020
E0,1993-08-18,,1993/94,Sheffield Weds,Aston Villa,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,EPL-00021
E0,1993-08-18,,1993/94,Swindon,Oldham,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,EPL-00022
E0,1993-08-21,,1993/94,Blackburn,Oldham,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,EPL-00023
E0,1993-08-21,,1993/94,Coventry,West Ham,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,EPL-00024
E0,1993-08-21,,1993/94,Everton,Sheffield United,4.0,2.0,H,,,,,,,,,,,,,,,,,,,,,,EPL-00025
E0,1993-08-21,,1993/94,Ipswich,Chelsea,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,EPL-00026
E0,1993-08-21,,1993/94,Leeds,Norwich,0.0,4.0,A,,,,,,,,,,,,,,,,,,,,,,EPL-00027
E0,1993-08-21,,1993/94,Man United,Newcastle,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,EPL-00028
E0,1993-08-21,,1993/94,QPR,Southampton,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,EPL-00029
E0,1993-08-21,,1993/94,Sheffield Weds,Arsenal,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,EPL-00030
E0,1993-08-21,,1993/94,Tottenham,Man City,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,EPL-00031
E0,1993-08-21,,1993/94,Wimbledon,Aston Villa,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,EPL-00032
E0,1993-08-22,,1993/94,Swindon,Liverpool,0.0,5.0,A,,,,,,,,,,,,,,,,,,,,,,EPL-00033
E0,1993-08-23,,1993/94,Aston Villa,Man United,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,EPL-00034
E0,1993-08-24,,1993/94,Arsenal,Leeds,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,EPL-00035
E0,1993-08-24,,1993/94,Man City,Blackburn,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,EPL-00036
E0,1993-08-24,,1993/94,Oldham,Coventry,3.0,3.0,D,,,,,,,,,,,,,,,,,,,,,,EPL-00037
